YEAR,MONTH,SERVICE_TYPE,AVG_TICKET,TRIPS
2021,6,yellow,19.42,2820874
2021,7,green,24.23,83530
2021,7,yellow,19.89,2808287
2021,8,green,24.55,83349
2021,8,yellow,20.2,2774159
2021,9,green,25.28,95542
2021,9,yellow,20.87,2950218
2021,10,green,24.0,110653
2021,10,yellow,20.29,3449066
2021,11,green,23.82,107957
2021,11,yellow,20.69,3457941
2021,12,green,23.12,99664
2021,12,yellow,20.9,3198783
2022,1,green,17.49,62511
2022,1,yellow,19.16,2462583
2022,2,green,17.79,69399
2022,2,yellow,19.49,2977880
2022,3,green,18.28,78519
2022,3,yellow,20.58,3626108
2022,4,green,18.79,75945
2022,4,yellow,21.2,3581097
2022,5,green,19.69,76742
2022,5,yellow,22.09,3568723
2022,6,green,19.82,73525
2022,6,yellow,22.14,3536303
2022,7,green,19.67,64050
2022,7,yellow,21.45,3154196
2022,8,green,19.96,65773
2022,8,yellow,21.57,3132123
2022,9,green,20.85,68849
2022,9,yellow,22.68,3164847
2022,10,green,19.59,69181
2022,10,yellow,22.26,3651363
2022,11,green,19.0,62147
2022,11,yellow,22.09,3229471
2022,12,green,21.06,72225
2022,12,yellow,24.57,3375564
2023,1,green,21.82,68057
2023,1,yellow,27.04,3044738
2023,2,green,21.93,64605
2023,2,yellow,26.92,2891899
2023,3,green,22.32,71842
2023,3,yellow,27.83,3377000
2023,4,green,23.12,65214
2023,4,yellow,28.29,3261638
2023,5,green,23.86,69006
2023,5,yellow,28.99,3485115
2023,6,green,24.56,65382
2023,6,yellow,29.09,3279341
2023,7,green,24.36,61187
2023,7,yellow,28.58,2879559
2023,8,green,25.25,60485
2023,8,yellow,28.64,2796745
2023,9,green,26.57,65234
2023,9,yellow,29.8,2820529
2023,10,green,24.82,65992
2023,10,yellow,29.19,3489454
2023,11,green,24.15,63828
2023,11,yellow,28.72,3306450
2023,12,green,24.28,64026
2023,12,yellow,28.56,3341297
2024,1,green,22.44,56374
2024,1,yellow,26.82,2933459
2024,2,green,22.67,53406
2024,2,yellow,26.63,2975894
2024,3,green,22.94,57256
2024,3,yellow,27.13,3543590
2024,4,green,23.4,56259
2024,4,yellow,27.49,3475837
2024,5,green,24.62,60782
2024,5,yellow,28.38,3680592
2024,6,green,24.89,54558
2024,6,yellow,27.93,3496291
2024,7,green,24.8,51644
2024,7,yellow,28.06,3032848
2024,8,green,26.01,51623
2024,8,yellow,28.24,2932807
2024,9,green,26.71,54265
2024,9,yellow,28.54,3574784
2024,10,green,25.07,55999
2024,10,yellow,28.43,3772618
2024,11,green,24.23,52069
2024,11,yellow,27.64,3592062
2024,12,green,24.03,53815
2024,12,yellow,28.31,3606652
2025,1,green,24.77,11
2025,1,yellow,34.16,2
2025,2,yellow,43.25,1
2025,3,yellow,26.44,2
2026,2,yellow,14.3,2
2026,6,yellow,43.29,2
2026,12,yellow,55.3,1
2028,12,yellow,63.1,1
2029,5,yellow,26.08,3
2029,11,yellow,13.43,4
2030,11,green,6.15,2
2031,2,yellow,9.8,2
2032,2,yellow,63.3,1
2033,4,yellow,8.8,3
2035,9,green,0.0,1
2037,11,yellow,18.0,1
2038,2,yellow,12.07,4
2041,3,yellow,15.8,1
2041,6,yellow,8.3,1
2041,8,green,0.0,1
2041,11,yellow,31.56,1
2042,12,yellow,4.8,1
2053,3,yellow,5.8,1
2053,7,yellow,0.0,1
2058,12,yellow,11.39,3
2062,8,green,3.6,1
2066,12,yellow,61.42,1
2070,8,yellow,0.0,1
2081,6,green,55.96,1
2084,11,yellow,9.24,8
2088,1,yellow,10.3,2
2090,12,yellow,61.42,1
2098,9,yellow,25.8,1
