DAY_TYPE,DAYS,AVG_CONGESTION_CHARGE,AVG_TOTAL_AMOUNT,AVG_TRIPS_PER_DAY
High Congestion,2080,2.22,22.89,124797
Normal,1648,1.33,16.27,339100
